endTime,artistName,trackName,msPlayed
2024-05-29 15:44,Aditya Gadhvi,Pankhi Re,231657
2024-05-29 15:49,Sachin-Jigar,Dhun Laagi,274285
2024-05-29 17:49,Sachin-Jigar,Vhalam Aavo Ne,6915
2024-05-30 12:30,Vishal Dadlani,Masta,812
2024-05-30 12:30,Sounds of Isha,Bhairavi Vandana,766
2024-05-30 12:30,Shreya Ghoshal,Yeh Aaina,1253
2024-05-30 12:30,Arijit Singh,Laal Ishq,6339
2024-05-30 12:30,Shashi Suman,Albela Sajan,1741
2024-05-30 12:30,Sachin-Jigar,Vhalam Aavo Ne,296937
2024-05-30 12:34,Amit Trivedi,"Iktara (From ""Wake Up Sid"")",1578
2024-05-30 12:34,Pritam,"Woh Din (From ""Chhichhore"")",952
2024-05-30 12:34,Amit Trivedi,Love You Zindagi,2716
2024-05-30 12:34,Vishal Dadlani,"Kudi Nu Nachne De (From ""Angrezi Medium"")",1462
2024-05-30 12:34,Amit Trivedi,Lagan Laagi Re,277014
2024-05-30 12:34,Abhijeet Srivastava,Phisal Jaa Tu,1207
2024-05-30 12:34,Amit Trivedi,English Vinglis - Male Vocals,1300
2024-05-30 12:35,Amit Trivedi,"Iktara (From ""Wake Up Sid"")",441
2024-05-30 12:35,Sachin-Jigar,Gulabi,650
2024-05-30 12:40,Jagjit Singh,Hoshwalon Ko Khabar Kya,766
2024-05-30 12:40,Amit Trivedi,"Iktara (From ""Wake Up Sid"")",6813
2024-05-30 12:40,Amit Trivedi,Radhe (From Songs of Faith),952
2024-05-30 12:40,Altamash Faridi,Aashiq Tera,1160
2024-05-30 12:40,Pritam,"Woh Din (From ""Chhichhore"")",312820
2024-05-30 12:40,Shankar-Ehsaan-Loy,O Rangrez,859
2024-05-30 12:40,Pritam,Tujhe Sochta Hoon,3575
2024-05-30 12:40,A.R. Rahman,Tere Bina,1625
2024-05-30 12:40,Shankar-Ehsaan-Loy,Dhara Hogi,905
2024-05-30 12:40,A.R. Rahman,Banarasiya,789
2024-05-30 12:40,A.R. Rahman,Tum Tak,1044
2024-05-30 12:40,Pritam,Tu Hi Haqeeqat,882
2024-05-30 12:40,Sounds of Isha,Mor Bani Thanghat Kare / Aum Namah Shivaya / Navrat Naveli - Live,882
2024-05-30 12:40,Pritam,Rab Ka Shukrana,882
2024-05-30 12:40,Osman Mir,Mor Bani Thanghat Kare,998
2024-05-30 12:40,Sachin-Jigar,Gulabi,905
2024-05-30 12:40,A.R. Rahman,Ay Hairathe,2159
2024-05-30 12:40,Shankar-Ehsaan-Loy,Padharo Maare Des,1671
2024-05-30 12:40,Pritam,Tu Hi Mera,1904
2024-05-30 12:40,Dominique Cerejo,Sooraj Ki Baahon Mein,1021
2024-05-30 12:45,Jigardan Gadhavi,Mane Tu Mali Gai,626
2024-05-30 12:45,Anthony de la Torre,Trust Fall,580
2024-05-30 12:45,Ashu Shukla,Har Ek Pal,487
2024-05-30 12:45,Vishal Chandrashekhar,Aise Dhale Raat Re,232
2024-05-30 12:45,Sounds of Isha,Neelambari Live - Live,812
2024-05-30 12:45,Amit Trivedi,Madhubala,2368
2024-05-30 12:45,Roop Kumar Rathod,Aaj Jaane Ki Zid Na Karo,743
2024-05-30 12:45,Ajit Kale,Tere Sath Mein,348
2024-05-30 12:45,Gautam Kale,Jiyara,882
2024-05-30 12:45,Pritam,Ale,928
2024-05-30 12:45,Pritam,Ale,1160
2024-05-30 12:45,Nihira Joshi Deshpande,Rang Laagyo,952
2024-05-30 12:45,Shankar Mahadevan,Tere Naina,325
2024-05-30 12:45,Jasleen Royal,Sang Rahiyo,859
2024-05-30 12:45,Akanksha Bhandari,Betahasha,952
2024-05-30 12:45,A.R. Rahman,Tu Hai,1462
2024-05-30 12:45,Humbear,Favorite Place,557
2024-05-30 12:45,Anand Bhaskar Collective,Malhar,743
2024-05-30 12:45,Rishab Rikhiram Sharma,Tumhi Dekho Naa - Sitar Lofi,417
2024-05-30 12:45,Kanishk Seth,"Rangisari (From ""Jugjugg Jeeyo"")",998
2024-05-30 12:45,Richa Sharma,Holi (Manganiyars & Langa's Folk Song),789
2024-05-30 12:45,Gulraj Singh,Pakeezah,232
2024-05-30 12:45,A.R. Rahman,Sunn Bhavara,882
2024-05-30 12:45,A.R. Rahman,Sunn Bhavara,510
2024-05-30 12:45,Aditya A,Heeriye,766
2024-05-30 12:45,Pritam,Saudebazi (Encore),580
2024-05-30 12:45,Sunidhi Chauhan,Bhage Re Mann,1230
2024-05-30 12:45,Swanand Kirkire,Chiraiyya,859
2024-05-30 12:45,Aditya Gadhvi,Sar Sar Ke,928
2024-05-30 12:45,Zac Efron,Rewrite The Stars,743
2024-05-30 12:45,Mame Khan,Chaudhary,789
2024-05-30 12:45,Jonita Gandhi,Piya Tose Naina Laage Re Unplugged,2647
2024-05-30 12:45,Amit Trivedi,Ajnabi,371
2024-05-30 12:45,Jigardan Gadhavi,Tari Madh Mithi Madh Mithi Vaate,719
2024-05-30 12:45,Sathya Yamini,Krishna Krishna,557
2024-05-30 12:45,Jubin Nautiyal,"Bawara Mann (From ""Jolly Ll.B 2"")",208
2024-05-30 12:45,Dikshant,Aankhon Se Batana,417
2024-05-30 12:45,Vishal-Shekhar,Ishq Sufiyana (Female),232
2024-05-30 12:45,Madhubanti Bagchi,Vairaagi,557
2024-05-30 12:45,Jasleen Royal,"Koi Mane Prem Shikhvado (From ""Gajab Thai Gayo"")",510
2024-05-30 12:45,Anu Malik,Moh Moh Ke Dhaage (Female),952
2024-05-30 12:45,Derek Gust,Day One (feat. Tayler Gust),301
2024-05-30 12:45,Arijit Singh,Tu Chale,417
2024-05-30 12:45,Jubin Nautiyal,Humnava Mere,371
2024-05-30 12:45,Pritam,Radha,394
2024-05-30 12:45,Amar Khandha,Kaanha Re Kaanha,603
2024-05-30 12:45,Namita Choudhary,Chaap Tilak,534
2024-05-30 12:45,Vishal Chandrashekhar,Aaja Sajna,185
2024-05-30 12:45,Arijit Singh,"Itni Si Baat Hain (From ""Azhar"")",232
2024-05-30 12:45,Amit Trivedi,Zidd,441
2024-05-30 12:45,Yasser Desai,Mann Jogiya,743
2024-05-30 12:45,Sachin-Jigar,"Afeemi (From ""Meri Pyaari Bindu "")",1021
2024-05-30 12:45,Parthiv Gohil,Aasmani,1323
2024-05-30 12:45,Bhavesh Ahir,Rang Morla,835
2024-05-30 12:45,ANDREAH,Best Friend,441
2024-05-30 12:45,Pritam,Mere Bina,235961
2024-05-30 12:45,Dream Note,Waqt Ki Baatein,534
2024-05-30 12:45,Sachin-Jigar,Meet,1137
2024-05-30 12:45,Jasleen Royal,Teri Dastaan,905
2024-05-30 12:45,Jasleen Royal,Raatein,812
2024-05-30 12:45,Taylor Swift,You Belong With Me,905
2024-05-30 12:45,Vishal-Shekhar,Ishq Sufiyana (Male),232
2024-05-30 12:45,Meet Bros.,Befikra,603
2024-05-30 12:46,Papon,Tera Mera,580
2024-05-30 12:46,Sonu Nigam,Pal Pal Har Pal,812
2024-05-30 12:46,Sachin-Jigar,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",1695
2024-05-30 12:46,Salim–Sulaiman,Shine On Me,743
2024-05-30 12:46,Anurag Saikia,Aise Kyun,626
2024-05-30 12:46,Rahat Fateh Ali Khan,Tum Jo Aaye & Tere Bin Nahin Lagda,952
2024-05-30 12:46,Asees Kaur,Ve Kamleya - Asees Version,1160
2024-05-30 12:46,Sanjay Leela Bhansali,"Sakal Ban (From ""Heeramandi"") - Original",1021
2024-05-30 12:46,Pritam,"Abhi Na Jao Chhod Kar - Film Version 2 (From ""Rocky Aur Rani Kii Prem Kahaani"")",975
2024-05-30 12:46,Chirag Katti,Lat Ulajhi - Instrumental,928
2024-05-30 12:46,Aditya A,Chaand Baaliyan - On Sitar,859
2024-05-30 12:46,Amit Trivedi,Nazdeekiyaan,557
2024-05-30 12:46,Hiphop Tamizha,"Vilambara Idaiveli - From ""Imaikkaa Nodigal""",882
2024-05-30 12:46,Samira Koppikar,Bairaagi,626
2024-05-30 12:46,Sunidhi Chauhan,Lae Dooba,743
2024-05-30 12:46,Mohit Lalwani,Tum Hi Tum (Radha Krishna) - Reprise Version,743
2024-05-30 12:49,Vishal Mishra,"Zindagi Tere Naam (From ""Yodha"")",183680
2024-05-30 16:33,Amit Trivedi,Hu Ba Hu,835
2024-05-30 16:33,Naseebo Lal,Tu Jhoom,650
2024-05-30 16:33,Sachin-Jigar,Saiba,2554
2024-05-30 16:33,Sachin-Jigar,Bhuli Gaya,534
2024-05-30 16:33,Sachin-Jigar,Aav Ashaadi,487
2024-05-30 16:33,Arko Pravo Mukherjee,Dil Nawaziyaan,998
2024-05-30 16:33,Kaavish,Nindiya Re - Studio Version,510118
2024-05-30 16:47,Shankar-Ehsaan-Loy,Garaj Garaj Jugalbandi,928
2024-05-30 16:55,elijah woods,everything everywhere always,87887
2024-05-30 16:58,Mohit Chauhan,"Tum Se Hi (From ""Love In Lo-Fi Volume 1"")",4574
2024-05-30 16:58,Vishal Mishra,"Teri Hogaiyaan - From ""Broken But Beautiful Season 2""",172106
2024-05-30 16:58,Arko Pravo Mukherjee,Dil Nawaziyaan,1323
2024-05-30 17:01,Prateek Kuhad,Tere Hi Hum,177026
2024-05-30 17:06,Amit Trivedi,LAAGNI,118133
2024-05-30 17:11,Pritam,"Raabta (Title Track) [From ""Raabta""]",284704
2024-05-30 17:24,Rishab Rikhiram Sharma,Kautilya (The Echo Project),534
2024-05-30 17:24,Imdad Hussain,Khudaya Khair,510
2024-05-30 17:24,rhianne,Somewhere Only We Know,673
2024-05-30 17:24,Maanya Arora,Aarti Kunj Bihari Ki,534
